SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678963.244512, , , , , , -8.240503, , , 
1712678963.274939, , , , , , -8.045185, , , 
1712678963.305153, , , , , , -7.854751, , , 
1712678963.335550, , , , , , -7.681026, , , 
1712678963.365781, , , , , , -7.532045, , , 
1712678963.395660, , , , , , -7.412849, , , 
1712678963.426351, , , , , , -7.307543, , , 
1712678963.456666, , , , , , -7.282217, , , 
1712678963.486967, , , , , , -7.296489, , , 
1712678963.517270, , , , , , -7.349108, , , 
1712678963.547574, , , , , , -7.441469, , , 
1712678963.577873, , , , , , -7.572056, , , 
1712678963.608239, , , , , , -7.727973, , , 
1712678963.638528, , , , , , -7.900081, , , 
1712678963.668781, , , , , , -8.086370, , , 
1712678963.699098, , , , , , -8.268327, , , 
1712678963.729404, , , , , , -8.439717, , , 
1712678963.759674, , , , , , -8.590060, , , 
1712678963.789895, , , , , , -8.704023, , , 
1712678963.820212, , , , , , -8.783855, , , 
1712678963.850604, , , , , , -8.811550, , , 
1712678963.880882, , , , , , -8.786009, , , 
1712678963.911217, , , , , , -8.713700, , , 
1712678963.941555, , , , , , -8.595172, , , 
1712678963.971808, , , , , , -8.443826, , , 
1712678964.002110, , , , , , -8.265905, , , 
1712678964.032408, , , , , , -8.074216, , , 
1712678964.062807, , , , , , -7.881091, , , 
1712678964.093014, , , , , , -7.696023, , , 
1712678964.123317, , , , , , -7.526683, , , 
1712678964.153710, , , , , , -7.383459, , , 
1712678964.183919, , , , , , -7.273209, , , 
1712678964.214320, , , , , , -7.195810, , , 
1712678964.244529, , , , , , -7.158639, , , 
1712678964.274831, , , , , , -7.165648, , , 
1712678964.305129, , , , , , -7.212230, , , 
1712678964.335476, , , , , , -7.300034, , , 
1712678964.365845, , , , , , -7.420347, , , 
1712678964.396073, , , , , , -7.569150, , , 
1712678964.426408, , , , , , -7.738134, , , 
1712678964.456643, , , , , , -7.982217, , , 
1712678964.486944, , , , , , -8.165961, , , 
1712678964.517280, , , , , , -8.337891, , , 
1712678964.547555, , , , , , -8.485896, , , 
1712678964.577852, , , , , , -8.602253, , , 
1712678964.608173, , , , , , -8.681587, , , 
1712678964.638473, , , , , , -8.710395, , , 
1712678964.668759, , , , , , -8.687800, , , 
1712678964.699061, , , , , , -8.619984, , , 
1712678964.729393, , , , , , -8.502287, , , 
1712678964.759767, , , , , , -8.353076, , , 
1712678964.789970, , , , , , -8.176969, , , 
1712678964.820269, , , , , , -7.987995, , , 
1712678964.850573, , , , , , -7.795306, , , 
1712678964.880877, , , , , , -7.605044, , , 
1712678964.911177, , , , , , -7.435266, , , 
1712678964.941481, , , , , , -7.289728, , , 
1712678964.971291, , , , , , -7.169851, , , 
1712678965.002171, , , , , , -7.087382, , , 
1712678965.032404, , , , , , -7.041475, , , 
1712678965.062652, , , , , , -7.039705, , , 
1712678965.092991, , , , , , -7.078722, , , 
1712678965.123345, , , , , , -7.154946, , , 
1712678965.153686, , , , , , -7.265835, , , 
1712678965.183897, , , , , , -7.407889, , , 
1712678965.214293, , , , , , -7.571201, , , 
1712678965.244508, , , , , , -7.753117, , , 
1712678965.274895, , , , , , -7.937921, , , 
1712678965.305107, , , , , , -8.120086, , , 
1712678965.335499, , , , , , -8.283985, , , 
1712678965.365712, , , , , , -8.424065, , , 
1712678965.396144, , , , , , -8.530005, , , 
1712678965.426506, , , , , , -8.596624, , , 
1712678965.456644, , , , , , -8.605628, , , 
1712678965.486925, , , , , , -8.554493, , , 
1712678965.517251, , , , , , -8.457216, , , 
